CommentDesignatorFootprintLCSCQuantity
0RR3,R5,R6R_0402_1005MetricC604853
100nFC16,C17C_0402_1005MetricC530844592
10KR1R_0402_1005MetricC604901
1uFC11,C2,C3,C4,C5,C6,C7,C8C_0402_1005MetricC15182088
2.2KR2,R4R_0402_1005MetricC29068652
22pFC1,C10,C12,C13,C14,C15,C9C_0402_1005MetricC1062037
AudioJack3J1,J2Jack_3.5mm_CUI_SJ-3523-SMT_HorizontalC49918722
ES8311IC1QFN40P300X300X60-21NC9623421
Conn_01x06_PinJ4PinHeader_1x06_P2.54mm_Vertical1
Conn_01x06_PinJ3PinHeader_1x06_P2.54mm_Vertical1
